#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 17, Rank-35: (1) 285 | (2) 29546 | (3)0.964598/100 | (4) 431, 431 | (5) 495.549 | (6) 969.089 | (7) 6.8234e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 47.8431/100 | (15) 0 | (17) (431, 431) | (18) X | (19) (2691042, 298721) | (20) 1 | (21) 0 | (22) 0 | (23) 137 | (24) 2698.45 | (25) (34.1432, 49-50) | (26) 1 | (27) 760.837
Output number: 17, Rank-8: (1) 278 | (2) 29866 | (3)0.930824/100 | (4) 442, 442 | (5) 261.975 | (6) 1064.36 | (7) 0.000252743 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 43.3333/100 | (15) 0 | (17) (442, 442) | (18) X | (19) (2552047, 283897) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2049.72 | (25) (33.599, 122-12) | (26) 1 | (27) 0.45203
Output number: 17, Rank-53: (1) 271 | (2) 29587 | (3)0.915943/100 | (4) 388, 388 | (5) 462.09 | (6) 966.801 | (7) 0.000255852 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 46.6667/100 | (15) 0 | (17) (388, 388) | (18) X | (19) (2678097, 271989) | (20) 1 | (21) 1 | (22) 0 | (23) 15 | (24) 2481.84 | (25) (36.0492, 7-26) | (26) 1 | (27) 180.462
Output number: 17, Rank-105: (1) 157 | (2) 27302 | (3)0.575049/100 | (4) 72, 72 | (5) 2487.41 | (6) 235.27 | (7) 0.000255839 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 88.9542/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (1173671, 48629) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2365.6 | (25) (33.2828, 5-134) | (26) 1 | (27) 196.174
Output number: 17, Rank-61: (1) 85 | (2) 29923 | (3)0.284062/100 | (4) 262, 262 | (5) 73.1241 | (6) 1143.59 | (7) 0.000139584 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.7386/100 | (15) 0 | (17) (262, 262) | (18) X | (19) (1964324, 178749) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 96.1277 | (25) (0.53887, 122-84) | (26) 45956 | (27) -0.32371
Output number: 17, Rank-12: (1) 365 | (2) 29925 | (3)1.21972/100 | (4) 546, 546 | (5) 87.0695 | (6) 1138.57 | (7) 0.000107645 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 40.0327/100 | (15) 0 | (17) (546, 546) | (18) X | (19) (2240672, 272093) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 432.646 | (25) (33.4271, 84-41) | (26) 1 | (27) 0.01588
Output number: 17, Rank-44: (1) 181 | (2) 25780 | (3)0.702095/100 | (4) 79, 79 | (5) 2705.56 | (6) 144.09 | (7) 0.000107667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 93.1046/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (1089171, 53512) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 2636.07 | (25) (34.0912, 64-76) | (26) 1 | (27) 532.464
Output number: 17, Rank-84: (1) 327 | (2) 28600 | (3)1.14336/100 | (4) 103, 103 | (5) 868.715 | (6) 809.947 | (7) 7.0089e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 54.8366/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (2651589, 73629) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2447.63 | (25) (38.4208, 43-84) | (26) 1 | (27) 169.275
Output number: 17, Rank-62: (1) 15 | (2) 29885 | (3)0.0501924/100 | (4) 205, 205 | (5) 76.4286 | (6) 1172.62 | (7) 0.000121399 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 40.817/100 | (15) 0 | (17) (205, 205) | (18) X | (19) (2046552, 142002) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 72.3497 | (25) (0.47065, 140-67) | (26) 43578 | (27) -0.67566
Output number: 17, Rank-50: (1) 60 | (2) 29924 | (3)0.200508/100 | (4) 247, 247 | (5) 76.2381 | (6) 1137.16 | (7) 8.0399e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.6405/100 | (15) 0 | (17) (247, 247) | (18) X | (19) (2040761, 148648) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 90.6973 | (25) (0.52962, 13-68) | (26) 1 | (27) 0.02562
Output number: 17, Rank-90: (1) 188 | (2) 28546 | (3)0.658586/100 | (4) 66, 66 | (5) 904.983 | (6) 818.205 | (7) 7.2962e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 56.3072/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (2357043, 47514) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2123.1 | (25) (33.4531, 3-119) | (26) 8977 | (27) -0.67106
Output number: 17, Rank-72: (1) 235 | (2) 29943 | (3)0.784824/100 | (4) 418, 418 | (5) 104.877 | (6) 1164.23 | (7) 8.9159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 41.4706/100 | (15) 0 | (17) (418, 418) | (18) X | (19) (2200189, 254661) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 775.336 | (25) (33.6882, 125-121) | (26) 19229 | (27) -0.67819
Output number: 17, Rank-40: (1) 172 | (2) 29782 | (3)0.57753/100 | (4) 355, 355 | (5) 191.448 | (6) 1081.6 | (7) 8.237e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 41.6013/100 | (15) 0 | (17) (355, 355) | (18) X | (19) (2545644, 226338) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1361.78 | (25) (34.7281, 23-1) | (26) 2762 | (27) -0.6309
Output number: 17, Rank-94: (1) 75 | (2) 25928 | (3)0.289263/100 | (4) 76, 76 | (5) 2793.06 | (6) 107.781 | (7) 0.000107782 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 94.7712/100 | (15) 0 | (17) (76, 76) | (18) X | (19) (902616, 51322) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2498.89 | (25) (33.6248, 62-78) | (26) 8955 | (27) -0.37037
Output number: 17, Rank-73: (1) 106 | (2) 29946 | (3)0.35397/100 | (4) 288, 288 | (5) 75.126 | (6) 1120.53 | (7) 0.000149995 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.0523/100 | (15) 0 | (17) (288, 288) | (18) X | (19) (1972272, 152458) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.412 | (25) (0.52884, 96-117) | (26) 33508 | (27) -0.42987
Output number: 17, Rank-37: (1) 236 | (2) 29368 | (3)0.803596/100 | (4) 231, 231 | (5) 506.82 | (6) 951.397 | (7) 0.000124027 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 47.6471/100 | (15) 0 | (17) (231, 231) | (18) X | (19) (2494771, 214983) | (20) 1 | (21) 1 | (22) 0 | (23) 82 | (24) 2617.86 | (25) (34.4767, 61-41) | (26) 1 | (27) 844.164
Output number: 17, Rank-85: (1) 232 | (2) 29933 | (3)0.775064/100 | (4) 413, 413 | (5) 90.4425 | (6) 1125.71 | (7) 0.000115071 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.7386/100 | (15) 0 | (17) (413, 413) | (18) X | (19) (2306377, 275026) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 413.547 | (25) (32.833, 0-114) | (26) 84839 | (27) -0.31371
Output number: 17, Rank-75: (1) 54 | (2) 29790 | (3)0.181269/100 | (4) 238, 238 | (5) 74.8001 | (6) 1138.93 | (7) 9.7917e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.6405/100 | (15) 0 | (17) (238, 238) | (18) X | (19) (1998923, 147449) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 85.4627 | (25) (0.51409, 94-139) | (26) 34181 | (27) -0.28042
Output number: 17, Rank-29: (1) 53 | (2) 26442 | (3)0.200439/100 | (4) 73, 73 | (5) 2342.07 | (6) 333.839 | (7) 5.7405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 87.4183/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (716261, 47394) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2394.73 | (25) (33.1869, 2-0) | (26) 1 | (27) 64.9684
Output number: 17, Rank-103: (1) 2 | (2) 29977 | (3)0.00667178/100 | (4) 183, 183 | (5) 74.0352 | (6) 1135.3 | (7) 5.0857e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.5098/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (1934526, 123666) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.2025 | (25) (0.5284, 66-129) | (26) 4400 | (27) -0.33816
Output number: 17, Rank-70: (1) 157 | (2) 28998 | (3)0.541417/100 | (4) 187, 187 | (5) 649.557 | (6) 901.972 | (7) 0.000119598 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 50.6863/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (2226145, 131490) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2247.96 | (25) (33.4486, 92-93) | (26) 1162 | (27) -0.36879
Output number: 17, Rank-45: (1) 57 | (2) 26154 | (3)0.21794/100 | (4) 79, 79 | (5) 2763.7 | (6) 122.033 | (7) 7.5449e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 94.281/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (839948, 53245) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 2630.53 | (25) (34.0171, 66-69) | (26) 1 | (27) 233.182
Output number: 17, Rank-111: (1) 106 | (2) 27190 | (3)0.389849/100 | (4) 73, 73 | (5) 1939.51 | (6) 409.824 | (7) 0.000253762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 76.7647/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (1997348, 50853) | (20) 1 | (21) 0 | (22) 0 | (23) 52 | (24) 2401.66 | (25) (33.6909, 22-141) | (26) 1 | (27) 1708.48
Output number: 17, Rank-69: (1) 118 | (2) 21696 | (3)0.543879/100 | (4) 80, 80 | (5) 2897.87 | (6) 63.0765 | (7) 0.00011483 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 96.732/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (1481848, 54597) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 2601.98 | (25) (33.5338, 89-78) | (26) 1 | (27) 323.736
Output number: 17, Rank-28: (1) 78 | (2) 27289 | (3)0.285829/100 | (4) 67, 67 | (5) 2390.98 | (6) 283.793 | (7) 0.000136397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 87.3856/100 | (15) 0 | (17) (67, 67) | (18) X | (19) (1062192, 43940) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2226.43 | (25) (35.1091, 15-7) | (26) 1 | (27) 99.4461
Output number: 17, Rank-99: (1) 161 | (2) 30011 | (3)0.53647/100 | (4) 344, 344 | (5) 146.61 | (6) 1070 | (7) 1.27e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.7386/100 | (15) 0 | (17) (344, 344) | (18) X | (19) (2331506, 216767) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1301.7 | (25) (33.6511, 52-97) | (26) 7365 | (27) -1.01162
Output number: 17, Rank-76: (1) 151 | (2) 28883 | (3)0.522799/100 | (4) 250, 250 | (5) 876.869 | (6) 814.862 | (7) 0.000105358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 55.2614/100 | (15) 0 | (17) (250, 250) | (18) X | (19) (2567140, 196578) | (20) 1 | (21) 1 | (22) 0 | (23) 75 | (24) 2531.08 | (25) (34.0429, 122-138) | (26) 1 | (27) 1016.6
Output number: 17, Rank-102: (1) 37 | (2) 30023 | (3)0.123239/100 | (4) 221, 221 | (5) 75.5436 | (6) 1126.77 | (7) 0.000110397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 39.281/100 | (15) 0 | (17) (221, 221) | (18) X | (19) (2046372, 146299) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 81.2747 | (25) (0.53439, 45-124) | (26) 7051 | (27) -0.44811
Output number: 17, Rank-65: (1) 215 | (2) 27714 | (3)0.775781/100 | (4) 155, 155 | (5) 1219.7 | (6) 683.875 | (7) 9.4014e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 62.1895/100 | (15) 0 | (17) (155, 155) | (18) X | (19) (2466645, 113555) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2346.92 | (25) (33.4366, 91-91) | (26) 1 | (27) 64.5273
Output number: 17, Rank-46: (1) 118 | (2) 26626 | (3)0.443176/100 | (4) 78, 78 | (5) 2702.21 | (6) 142.61 | (7) 9.9585e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 92.9412/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (1115772, 51905) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2560.59 | (25) (33.4639, 66-60) | (26) 1 | (27) 96.8402
Output number: 17, Rank-39: (1) 250 | (2) 29280 | (3)0.853825/100 | (4) 275, 275 | (5) 651.027 | (6) 881.742 | (7) 6.2676e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 50.0654/100 | (15) 0 | (17) (275, 275) | (18) X | (19) (2824072, 190737) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2523.44 | (25) (36.3752, 27-13) | (26) 1 | (27) 34.8398
Output number: 17, Rank-93: (1) 199 | (2) 27786 | (3)0.716188/100 | (4) 73, 73 | (5) 1497.75 | (6) 577.17 | (7) 5.3387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 67.7778/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (2017538, 50150) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2397.32 | (25) (33.5276, 50-87) | (26) 1 | (27) 98.2501
Output number: 17, Rank-81: (1) 125 | (2) 27741 | (3)0.450597/100 | (4) 74, 74 | (5) 2009.61 | (6) 386.503 | (7) 0.000132907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 78.3007/100 | (15) 0 | (17) (74, 74) | (18) X | (19) (2050848, 51877) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 2430.16 | (25) (33.6716, 129-137) | (26) 1 | (27) 230.216
Output number: 17, Rank-54: (1) 308 | (2) 29752 | (3)1.03522/100 | (4) 440, 440 | (5) 418.475 | (6) 985.384 | (7) 6.6628e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 45.8497/100 | (15) 0 | (17) (440, 440) | (18) X | (19) (2955089, 310144) | (20) 1 | (21) 0 | (22) 0 | (23) 38 | (24) 2533.34 | (25) (35.5716, 43-55) | (26) 1 | (27) 208.152
Output number: 17, Rank-96: (1) 111 | (2) 26786 | (3)0.414396/100 | (4) 73, 73 | (5) 2213.78 | (6) 322.656 | (7) 0.000108479 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 82.8758/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (1731134, 50361) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2434.59 | (25) (34.3268, 68-85) | (26) 1 | (27) 32.4052
Output number: 17, Rank-57: (1) 288 | (2) 29687 | (3)0.970122/100 | (4) 455, 455 | (5) 241.558 | (6) 1115.68 | (7) 0.000113319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 44.3464/100 | (15) 0 | (17) (455, 455) | (18) X | (19) (2279594, 325020) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2490.78 | (25) (33.4708, 126-120) | (26) 1 | (27) 161.964
Output number: 17, Rank-51: (1) 296 | (2) 29632 | (3)0.99892/100 | (4) 342, 342 | (5) 406.647 | (6) 996.568 | (7) 0.00014503 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 45.8497/100 | (15) 0 | (17) (342, 342) | (18) X | (19) (2736214, 268966) | (20) 1 | (21) 0 | (22) 0 | (23) 19 | (24) 2489.59 | (25) (33.7571, 42-81) | (26) 1 | (27) 105.492
Output number: 17, Rank-92: (1) 291 | (2) 28818 | (3)1.00979/100 | (4) 157, 157 | (5) 942.909 | (6) 814.406 | (7) 0.000109391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 57.4183/100 | (15) 0 | (17) (157, 157) | (18) X | (19) (2307586, 110641) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2237.13 | (25) (33.6749, 53-94) | (26) 1 | (27) 98.6636
Output number: 17, Rank-68: (1) 96 | (2) 22795 | (3)0.421145/100 | (4) 76, 76 | (5) 2638.52 | (6) 159.475 | (7) 5.0978e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 91.4052/100 | (15) 0 | (17) (76, 76) | (18) X | (19) (1813174, 54819) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2468.44 | (25) (35.5047, 92-80) | (26) 1 | (27) 99.3324
Output number: 17, Rank-42: (1) 177 | (2) 27420 | (3)0.645514/100 | (4) 78, 78 | (5) 2167.48 | (6) 336.964 | (7) 9.7872e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 81.8301/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (1719257, 53341) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2566.92 | (25) (35.2102, 52-57) | (26) 1 | (27) 31.6728
Output number: 17, Rank-108: (1) 258 | (2) 29540 | (3)0.873392/100 | (4) 380, 380 | (5) 528.874 | (6) 955.869 | (7) 0.00010446 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 48.4967/100 | (15) 0 | (17) (380, 380) | (18) X | (19) (2721452, 271693) | (20) 1 | (21) 0 | (22) 0 | (23) 17 | (24) 2489.37 | (25) (33.6382, 15-127) | (26) 1 | (27) 136.509
Output number: 17, Rank-79: (1) 126 | (2) 27963 | (3)0.450595/100 | (4) 69, 69 | (5) 1085.78 | (6) 745.737 | (7) 0.000122677 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 59.8366/100 | (15) 0 | (17) (69, 69) | (18) X | (19) (2293660, 48854) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 3847.36 | (25) (100.681, 137-123) | (26) 1 | (27) 745.933
Output number: 17, Rank-48: (1) 127 | (2) 27301 | (3)0.465184/100 | (4) 78, 78 | (5) 2407.43 | (6) 253.809 | (7) 6.1642e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 86.9608/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (1451081, 51725) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2596.37 | (25) (33.9693, 58-54) | (26) 1 | (27) 265.15
Output number: 17, Rank-109: (1) 137 | (2) 28032 | (3)0.488727/100 | (4) 75, 75 | (5) 1788.49 | (6) 463.727 | (7) 5.9994e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 73.5948/100 | (15) 0 | (17) (75, 75) | (18) X | (19) (1946963, 52512) | (20) 1 | (21) 0 | (22) 0 | (23) 20 | (24) 2438.36 | (25) (33.9601, 9-134) | (26) 1 | (27) 657.825
Output number: 17, Rank-82: (1) 111 | (2) 26871 | (3)0.413085/100 | (4) 73, 73 | (5) 2468.89 | (6) 254.563 | (7) 0.000137455 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 88.9869/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (790211, 52012) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2400.96 | (25) (33.3979, 136-128) | (26) 1 | (27) 163.804
Output number: 17, Rank-27: (1) 95 | (2) 28513 | (3)0.333181/100 | (4) 59, 59 | (5) 929.886 | (6) 805.105 | (7) 0.000266478 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 56.6667/100 | (15) 0 | (17) (59, 59) | (18) X | (19) (1966651, 38289) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 1963.58 | (25) (33.9507, 141-19) | (26) 1 | (27) 165.812
Output number: 17, Rank-34: (1) 182 | (2) 28414 | (3)0.640529/100 | (4) 71, 71 | (5) 1474.11 | (6) 636.176 | (7) 0.000276825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 68.9542/100 | (15) 0 | (17) (71, 71) | (18) X | (19) (2282762, 43827) | (20) 1 | (21) 1 | (22) 0 | (23) 1 | (24) 2342.45 | (25) (34.8595, 5-28) | (26) 1 | (27) 32.2273
Output number: 17, Rank-95: (1) 36 | (2) 24924 | (3)0.144439/100 | (4) 80, 80 | (5) 2817.69 | (6) 98.8438 | (7) 8.739e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 95.2941/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (860825, 53808) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 2624.93 | (25) (33.5462, 71-81) | (26) 1 | (27) 295.014
Output number: 17, Rank-67: (1) 77 | (2) 23222 | (3)0.331582/100 | (4) 79, 79 | (5) 2904.94 | (6) 62.4862 | (7) 0.000106287 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 96.9608/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (932354, 53530) | (20) 1 | (21) 1 | (22) 0 | (23) 8 | (24) 2615.36 | (25) (38.0151, 72-78) | (26) 1 | (27) 263.56
Output number: 17, Rank-36: (1) 341 | (2) 28265 | (3)1.20644/100 | (4) 81, 81 | (5) 1171.3 | (6) 698.733 | (7) 9.068e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 61.1111/100 | (15) 0 | (17) (81, 81) | (18) X | (19) (2365388, 51665) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2654.31 | (25) (33.395, 73-48) | (26) 1 | (27) 162.854
Output number: 17, Rank-110: (1) 235 | (2) 28045 | (3)0.837939/100 | (4) 69, 69 | (5) 807.226 | (6) 847.742 | (7) 0.000147794 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 54.0523/100 | (15) 0 | (17) (69, 69) | (18) X | (19) (2405244, 96094) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2228.25 | (25) (38.0199, 23-129) | (26) 1 | (27) 65.805
Output number: 17, Rank-63: (1) 100 | (2) 24303 | (3)0.411472/100 | (4) 82, 82 | (5) 2074.59 | (6) 365.648 | (7) 0.000111099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 79.7386/100 | (15) 0 | (17) (82, 82) | (18) X | (19) (1881407, 55699) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2455.85 | (25) (35.2144, 81-95) | (26) 1 | (27) 167.337
Output number: 17, Rank-13: (1) 292 | (2) 28475 | (3)1.02546/100 | (4) 106, 106 | (5) 832.963 | (6) 826.33 | (7) 0.00014748 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 54.2157/100 | (15) 0 | (17) (106, 106) | (18) X | (19) (2832219, 121363) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2550.2 | (25) (33.4273, 90-45) | (26) 1 | (27) 97.7088
Output number: 17, Rank-55: (1) 320 | (2) 28841 | (3)1.10953/100 | (4) 161, 161 | (5) 981.171 | (6) 770.286 | (7) 8.8896e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 57.2222/100 | (15) 0 | (17) (161, 161) | (18) X | (19) (2798133, 108165) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2607.25 | (25) (33.8741, 47-68) | (26) 1 | (27) 32.2566
Output number: 17, Rank-107: (1) 45 | (2) 26044 | (3)0.172785/100 | (4) 75, 75 | (5) 2482.33 | (6) 247.755 | (7) 4.431e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 89.2157/100 | (15) 0 | (17) (75, 75) | (18) X | (19) (756613, 50044) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 2463.26 | (25) (33.7585, 5-139) | (26) 1 | (27) 459.194
Output number: 17, Rank-1: (1) 205 | (2) 29101 | (3)0.704443/100 | (4) 212, 212 | (5) 775.31 | (6) 862.5 | (7) 7.4124e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 3060 | (14) 53.4967/100 | (15) 0 | (17) (212, 212) | (18) X | (19) (2722148, 193440) | (20) 1 | (21) 1 | (22) 0 | (23) 123 | (24) 2787.59 | (25) (33.6877, 90-55) | (26) 1 | (27) 1611.64
